run_id,project,config,workflow,stage,energy_joules,duration_seconds,timestamp,python_version
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,dependency-installation,95.0632,23.35,,3.10
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,test-execution,341.184,96.54,,3.10
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,checkout,8.12557,2.15,,3.11
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,dependency-installation,84.0027,20.67,,3.11
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,test-execution,323.876,92.2,,3.11
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,dependency-installation,91.6867,22.35,,3.12
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,test-execution,336.634,94.76,,3.12
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,checkout,7.3539,1.91,,
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,dependency-installation,51.2127,12.37,,
32651129107,httpie,C3,P01 HTTPie C3 Consolidated,lint,71.8465,17.53,,
32651128732,gson,C3,P05 Gson C3 Consolidated,checkout,8.06213,1.92,,
32651128732,gson,C3,P05 Gson C3 Consolidated,test-execution,217.631,39.53,,
32651126617,gson,C2,P05 Gson C2 Tests,test-execution,207.045,32.26,,
32651125798,gson,C1,P05 Gson C1 Tests,checkout,3.24906,1.26,,
32651125798,gson,C1,P05 Gson C1 Tests,test-execution,258.535,44.91,,
32651124439,resty,C4,P04 resty C4 Combined,checkout,9.57667,2.11,,
32651124439,resty,C4,P04 resty C4 Combined,dependency-installation,52.7747,13.29,,
32651124439,resty,C4,P04 resty C4 Combined,test-execution,181.077,80.58,,
32651123367,resty,C2,P04 resty C2 Tests,checkout,5.28,1.44,,
32651123367,resty,C2,P04 resty C2 Tests,dependency-installation,36.1693,8.72,,
32651123367,resty,C2,P04 resty C2 Tests,test-execution,184.204,81.85,,
32651123433,resty,C3,P04 resty C3 Consolidated,checkout,5.32488,1.43,,
32651123433,resty,C3,P04 resty C3 Consolidated,dependency-installation,37.4055,8.9,,
32651123433,resty,C3,P04 resty C3 Consolidated,test-execution,187.424,81.24,,
32651121513,resty,C1,P04 resty C1 Tests,checkout,7.0844,1.57,,
32651121513,resty,C1,P04 resty C1 Tests,dependency-installation,41.7585,10.57,,
32651121513,resty,C1,P04 resty C1 Tests,test-execution,182.505,79.85,,
32651113382,retrofit,C1,P03 Retrofit C1 Tests,checkout,10.6287,2.29,,
32651113382,retrofit,C1,P03 Retrofit C1 Tests,test-execution,554.456,107.71,,
32651112262,got,C3,P02 got C3 Consolidated,dependency-installation,195.212,43.81,,
32651112262,got,C3,P02 got C3 Consolidated,test-execution,396.355,75.29,,
32651112262,got,C3,P02 got C3 Consolidated,checkout,7.01303,1.5,,
32651112262,got,C3,P02 got C3 Consolidated,dependency-installation,190.81,41.67,,
32651112262,got,C3,P02 got C3 Consolidated,test-execution,334.857,67.63,,
32651111406,got,C4,P02 got C4 Combined,checkout,4.51811,1.28,,
32651111406,got,C4,P02 got C4 Combined,dependency-installation,179.811,40.7,,
32651111406,got,C4,P02 got C4 Combined,test-execution,379.467,73.04,,
32651111406,got,C4,P02 got C4 Combined,checkout,4.37694,1.26,,
32651111406,got,C4,P02 got C4 Combined,dependency-installation,182.744,41.52,,
32651111406,got,C4,P02 got C4 Combined,test-execution,273.931,57.15,,
32651108510,got,C2,P02 got C2 Tests,dependency-installation,143.221,32.01,,
32651108510,got,C2,P02 got C2 Tests,test-execution,329.076,67.38,,
32651108510,got,C2,P02 got C2 Tests,checkout,3.2496,1.1,,
32651108510,got,C2,P02 got C2 Tests,dependency-installation,128.129,27.39,,
32651108510,got,C2,P02 got C2 Tests,test-execution,310.461,62.67,,
32651106175,got,C1,P02 got C1 Tests,checkout,2.5571,1.13,,
32651106175,got,C1,P02 got C1 Tests,dependency-installation,161.009,36.47,,
32651106175,got,C1,P02 got C1 Tests,test-execution,382.474,73.05,,
32651106175,got,C1,P02 got C1 Tests,dependency-installation,169.177,36.82,,
32651106175,got,C1,P02 got C1 Tests,test-execution,317.449,65.41,,
32651104140,httpie,C4,P01 HTTPie C4 Combined,dependency-installation,87.5634,21.33,,
32651104140,httpie,C4,P01 HTTPie C4 Combined,coverage,366.266,101.76,,
32651104140,httpie,C4,P01 HTTPie C4 Combined,dist-test,79.7892,19.7,,
32651104140,httpie,C4,P01 HTTPie C4 Combined,checkout,4.80458,1.07,,3.10
32651104140,httpie,C4,P01 HTTPie C4 Combined,dependency-installation,90.563,21.45,,3.10
32651104140,httpie,C4,P01 HTTPie C4 Combined,test-execution,364.226,101.35,,3.10
32651104140,httpie,C4,P01 HTTPie C4 Combined,checkout,8.45181,1.96,,3.11
32651104140,httpie,C4,P01 HTTPie C4 Combined,dependency-installation,94.4981,23.3,,3.11
32651104140,httpie,C4,P01 HTTPie C4 Combined,test-execution,324.083,92.36,,3.11
